entry_date,exit_date,direction,entry_price,exit_price,qty,pnl,r_multiple,layer,exit_reason
2016-06-21,2016-06-24,long,94.08702,90.99448000000001,238.0,-780.0739169999965,-0.7376643889622676,1,regime_break
2016-07-05,2016-07-05,long,90.8454,90.7546,37126.0,-10113.122400000057,-3.3983820513490275,1,regime_break
2016-09-13,2016-09-13,long,83.96195999999999,83.87804000000001,1328.0,-334.3372799999705,-0.1300423546949218,1,regime_break
2017-01-27,2017-02-08,long,91.2456,88.61231963938663,329.0,-925.5224942031568,-1.0171221109369588,3,stop_hit
2017-01-13,2017-03-08,long,91.6458,88.83556,199.0,-595.1535506399986,-0.6584472776587057,1,regime_break
2017-01-23,2017-03-08,long,89.72484,88.83556,390.0,-416.4577559999998,-0.4073436394794707,2,regime_break
2017-02-13,2017-03-08,long,91.00547999999999,88.83556,234.0,-549.8440833599977,-0.6026918047538536,3,regime_break
2017-12-11,2018-02-06,long,92.36616,101.3475808252163,218.0,1915.7201443972572,2.378943732197235,1,stop_hit
2017-12-15,2018-02-06,long,91.80588,101.3475808252163,368.0,3440.265430095917,4.257475840349298,2,stop_hit
2018-02-23,2018-03-01,long,100.93043999999999,97.19132509031341,99.0,-389.7864308029122,-0.42191522205924503,1,stop_hit
2018-03-06,2018-04-04,long,101.01047999999999,100.34980000000002,163.0,-140.51256563999524,-0.1236396903067622,1,stop_hit
2018-03-12,2018-04-04,long,99.32964,100.34980000000002,228.0,187.06956768000418,0.266222422456515,2,stop_hit
2018-03-19,2018-04-04,long,100.61028,100.34980000000002,189.0,-87.21217511999754,-0.05633427421006979,3,stop_hit
2018-04-10,2018-05-25,long,104.21207999999999,111.38428,157.0,1092.1867714800028,1.2891662104914448,1,stop_hit
2018-06-25,2018-07-12,long,112.13604,113.48025298404454,94.0,105.14808895968714,0.14365972599599341,1,stop_hit
2018-07-13,2018-07-16,long,115.41767999999999,112.26924159680891,286.0,-965.5718428893359,-1.018162255755708,1,stop_hit
2018-08-03,2018-08-08,long,114.53724,110.56398787655303,223.0,-936.2327973451453,-1.0141170139990636,2,stop_hit
2018-08-07,2018-08-08,long,115.49771999999999,111.59017843692581,227.0,-938.5608877630201,-1.0144930113182207,3,stop_hit
2018-07-26,2018-08-13,long,114.77735999999999,109.99128035819798,145.0,-726.5730009132293,-0.7953815659335164,1,stop_hit
