entry_date,exit_date,direction,entry_price,exit_price,qty,pnl,r_multiple,layer,exit_reason
2018-05-14,2018-05-17,long,729.44454,706.4466,7.0,-171.0368179799998,-0.18299607917752736,1,regime_break
2018-05-20,2018-05-22,long,697.3485,696.7514500000001,14.0,-27.876099299997954,-0.008743900738705738,1,regime_break
2019-05-03,2019-06-09,long,161.90090999999998,227.3097738701183,63.0,4096.238150733637,4.171477690170004,1,stop_hit
2019-06-07,2019-06-27,long,248.894385,285.5368820151171,41.0,1480.4306956721812,1.5397956920038307,2,stop_hit
2019-06-11,2019-06-27,long,246.733305,285.5368820151171,35.0,1339.4957389835693,1.3380108535924489,2,stop_hit
2019-06-13,2019-06-27,long,261.260565,285.5368820151171,31.0,735.615106611162,0.72553839170328,3,stop_hit
2019-07-08,2019-07-11,long,304.87236,269.6642296350542,30.0,-1073.480008637426,-1.0038462257830694,1,stop_hit
2019-08-06,2019-08-14,long,233.646765,209.20534500000002,21.0,-522.5697143099993,-0.4971882860653455,1,regime_break
2020-03-07,2020-03-08,long,245.05246499999998,200.98567763370292,24.0,-1068.3078122143384,-1.0022868250876007,1,stop_hit
2020-05-14,2020-06-27,long,199.709805,221.48237806703816,34.0,725.9469500550183,0.7137063948236401,1,stop_hit
2020-05-17,2020-06-27,long,200.54021999999998,221.48237806703816,67.0,1374.8490764210665,1.3581148183808303,2,stop_hit
2020-05-23,2020-06-27,long,207.46368,221.48237806703816,47.0,638.718344421642,0.6335567370893296,3,stop_hit
2020-07-02,2020-08-02,long,231.105495,329.3517348562032,53.0,5177.3464791963925,4.886134557068954,1,stop_hit
2020-07-07,2020-08-02,long,241.72079999999997,329.3517348562032,45.0,3917.6938044606172,3.7096373665771565,2,stop_hit
2020-07-20,2020-08-02,long,239.23955999999998,329.3517348562032,82.0,7342.573852030457,6.89683474442209,3,stop_hit
2020-08-23,2020-08-25,long,395.427615,372.6458981756911,54.0,-1271.6886782241672,-1.0082502180392543,1,stop_hit
2020-08-25,2020-08-25,long,407.88383999999996,371.10823633516225,33.0,-1239.301659458705,-1.0050737130694845,2,stop_hit
2020-08-29,2020-09-03,long,395.29755,394.68789542340807,32.0,-44.78848070449101,-0.01638457240081916,1,stop_hit
2020-09-18,2020-09-21,long,389.544675,333.9796296077593,21.0,-1182.0599636338172,-1.0030158748655393,2,stop_hit
2020-09-13,2020-09-23,long,387.9738899999999,317.21075629881796,12.0,-857.6198201697695,-0.7341675221202139,1,stop_hit
2020-10-10,2020-11-26,long,365.192505,512.22127626429,19.0,2776.8757921774895,2.380778929009509,1,stop_hit
2020-11-01,2020-11-26,long,386.63322,512.22127626429,52.0,6483.83849193734,5.543706235857547,2,stop_hit
2020-11-04,2020-11-26,long,388.07394,512.22127626429,60.0,7394.822462881546,6.328356779556807,3,stop_hit
2020-12-10,2020-12-23,long,573.4866000000001,552.9057926406998,30.0,-651.2159925582285,-0.4652102092233664,1,stop_hit
2020-12-13,2020-12-23,long,568.374045,552.9057926406998,26.0,-431.32783712046364,-0.29943616643554305,2,stop_hit
2020-12-25,2021-01-03,long,612.6161549999999,774.0527800000001,16.0,2560.799297040003,1.954937315096326,1,stop_hit
2021-01-23,2021-02-22,long,1233.226305,1571.7444353561925,6.0,2014.2789576950186,1.5093048484000327,1,stop_hit
2021-03-07,2021-03-24,long,1651.50534,1594.9769485051581,3.0,-179.32462135004087,-0.12864054251396118,1,stop_hit
2021-03-30,2021-04-18,long,1817.6683799999998,2117.31697506697,4.0,1182.8544388476125,0.8786560032753177,1,stop_hit
2021-04-26,2021-05-17,long,2321.60022,3245.1691007439986,5.0,4590.010557116273,3.4683802687733523,1,stop_hit
2021-06-04,2021-06-20,long,2858.678625,2063.829950823906,1.0,-799.7711827519179,-0.596603379969556,1,stop_hit
2021-07-07,2021-07-09,long,2323.671255,2052.255493370626,5.0,-1378.958441888724,-1.003796902275818,3,stop_hit
2021-07-01,2021-07-13,long,2276.8178399999997,2030.554215,2.0,-501.1419941099992,-0.41849313233387736,1,regime_break
