entry_date,exit_date,direction,entry_price,exit_price,qty,pnl,r_multiple,layer,exit_reason
2018-05-10,2018-05-11,long,9314.654999999999,8997.708895,3.0,-1005.7754066849973,-0.6377458485572324,1,regime_break
2019-05-01,2019-06-27,long,5324.6009699999995,10590.8523400934,6.0,31502.015500699836,22.020904469300472,1,stop_hit
2019-06-13,2019-06-27,long,8131.70382,10590.8523400934,1.0,2440.425963933306,2.704792252578609,2,stop_hit
2019-07-13,2019-07-14,long,11763.09861,10519.848785170545,1.0,-1265.5327722246248,-1.0042508964361123,2,stop_hit
2019-07-03,2019-07-16,long,10850.402489999999,9542.107858185758,1.0,-1328.6871421624262,-1.0036619586100866,1,stop_hit
2019-08-01,2019-08-14,long,10085.570265,10000.05741098299,1.0,-105.59848169299288,-0.061883588554543,1,stop_hit
2019-08-20,2019-08-29,long,10920.187365,9426.488007414033,1.0,-1514.046032958381,-1.0031669934519423,1,stop_hit
2019-09-13,2019-09-23,long,10420.217505,9633.96758654211,2.0,-1612.6082070988643,-1.0061673985543547,2,stop_hit
2019-09-03,2019-09-24,long,10345.17,9144.320587675895,1.0,-1220.3389029117811,-0.9305130865156013,1,stop_hit
2019-10-10,2019-10-23,long,8566.431074999999,8016.049970000001,1.0,-566.9635860449977,-0.516733476562974,1,regime_break
2019-10-21,2019-10-23,long,8227.461675,8016.049970000001,3.0,-682.9656499349986,-0.362021476428556,2,regime_break
2019-11-11,2019-11-15,long,9044.68008,8483.211551930272,3.0,-1736.9892591049766,-1.0076158269274997,1,stop_hit
2020-02-19,2020-02-25,long,10169.86239,9249.796020694846,2.0,-1878.9720554316973,-1.0050546358840884,1,stop_hit
2020-02-24,2020-02-26,long,9941.368199999999,9311.82176,2.0,-1297.5992599199965,-0.8027195674538574,2,regime_break
2020-05-13,2020-06-15,long,8815.395494999999,8918.159970571714,1.0,85.03092010614388,0.10485579980329308,1,stop_hit
2020-05-28,2020-06-15,long,9208.672035,8918.159970571714,2.0,-617.2777928677137,-0.356740026761678,2,stop_hit
2020-06-23,2020-06-27,long,9690.532845,8985.179218881798,2.0,-1448.0586763641668,-1.0064133276173777,2,stop_hit
2020-06-17,2020-07-27,long,9531.733484999999,9926.574230000002,2.0,750.7648745700063,0.47755101043167947,1,stop_hit
2020-07-07,2020-07-27,long,9347.141235,9926.574230000002,2.0,1120.3185590700057,0.8826448449038302,2,stop_hit
2020-07-11,2020-07-27,long,9292.98417,9926.574230000002,6.0,3686.2230096000135,2.369497925973802,3,stop_hit
2020-08-25,2020-08-25,long,11754.064095,11167.082146436114,3.0,-1829.7092844159647,-1.0096084905057925,1,stop_hit
2020-08-31,2020-09-03,long,11717.025585,10921.169061568586,2.0,-1636.9894361559645,-1.0069121497234748,1,stop_hit
2020-09-15,2021-01-11,long,10677.105884999999,30902.554818636047,1.0,20183.869272932414,18.68380908386687,1,stop_hit
2020-09-25,2021-01-11,long,10741.698165,30902.554818636047,2.0,40238.42480130482,24.622353339447635,2,stop_hit
2020-10-06,2021-01-11,long,10797.5961,30902.554818636047,3.0,60189.77570315223,34.50751891286844,3,stop_hit
2021-02-02,2021-02-26,long,33533.84854499999,44405.29680906201,1.0,10793.509118707958,3.6231457817122754,1,stop_hit
2021-03-06,2021-04-18,long,48771.183404999996,53534.20524582522,1.0,4660.716452174401,1.426450054845101,1,stop_hit
2021-06-12,2021-06-12,long,37350.645990000005,37313.31401,1.0,-111.99594000000266,-0.011059536658087269,1,regime_break
2021-09-02,2021-09-07,long,48834.915255,45576.76497945638,1.0,-3352.5619557780797,-1.0070470826666527,1,stop_hit
2021-11-07,2021-11-16,long,61501.35531,59275.59548485216,1.0,-2346.5367759426936,-1.0135023572800475,1,stop_hit
2023-02-08,2023-02-09,long,23254.041209999996,22256.080686438825,3.0,-3130.4119363728287,-1.0112822288910055,1,stop_hit
2023-02-16,2023-03-03,long,24335.031434999997,22086.171310371054,1.0,-2295.2813273743145,-0.6633985042951588,1,stop_hit
2023-03-02,2023-03-03,long,23641.574879999996,22265.761465609197,2.0,-2843.4415014728165,-1.0081619801403854,2,stop_hit
2023-03-13,2023-04-21,long,22009.049024999997,27322.725085365644,1.0,5264.344286255282,1.96060005962751,1,stop_hit
2023-05-04,2023-05-10,long,29040.673079999997,27101.220132985778,1.0,-1995.5948402272045,-1.0070395243930927,2,stop_hit
2023-04-28,2023-05-12,long,29487.506385,26349.149595482948,1.0,-3194.193445497536,-1.0042177358861457,1,stop_hit
2023-06-03,2023-06-05,long,27256.211294999997,26175.116416335528,3.0,-3403.5786191274146,-1.0122603893057731,2,stop_hit
2023-05-29,2023-06-06,long,28079.042504999998,25371.886211898174,1.0,-2760.6072218187214,-1.0047105061460946,1,stop_hit
2023-06-07,2023-06-14,long,27243.685035,24908.81861373943,1.0,-2387.0189249093087,-1.0053654015698825,1,stop_hit
2023-06-17,2023-07-24,long,26358.182504999997,29102.684835115942,1.0,2689.0414627758296,1.3581837941053898,1,stop_hit
2023-07-08,2023-07-24,long,30359.872349999998,29362.9316546802,3.0,-3169.990497973434,-1.0149542194374608,2,stop_hit
2023-08-15,2023-08-16,long,29445.635459999998,28983.57100771838,7.0,-3643.4556112453565,-1.0323953425850496,3,stop_hit
2023-08-02,2023-08-17,long,29720.842995,28516.21973226532,2.0,-2525.7206509238904,-1.011983993256424,1,stop_hit
2023-08-09,2023-08-17,long,29785.295205,28368.669395326342,2.0,-2949.5595485479657,-1.0101191404194967,2,stop_hit
2023-08-30,2023-08-31,long,27730.19817,27286.340005000002,1.0,-498.8747031749978,-0.1510640673549799,1,regime_break
2023-11-23,2024-01-18,long,37427.054175,40875.972386698675,1.0,3370.615185136979,1.4563341666479146,1,stop_hit
2023-12-13,2024-01-18,long,41513.126189999995,40875.972386698675,1.0,-719.5429018780189,-0.31902960102655864,2,stop_hit
2023-12-19,2024-01-18,long,42679.1289,40875.972386698675,1.0,-1886.7116145880268,-0.8202617030054828,3,stop_hit
2024-06-02,2024-06-14,long,67800.72342,65474.474563601965,1.0,-2459.5240543816317,-1.0142810909238524,1,stop_hit
