entry_date,exit_date,direction,entry_price,exit_price,qty,pnl,r_multiple,layer,exit_reason
2015-11-19,2015-12-03,long,177.246,174.37677865336718,155.0,-444.7293087280882,-0.44568765123540355,1,stop_hit
2015-12-07,2015-12-11,long,177.801,172.775,208.0,-1045.4079999999963,-1.053628127874278,1,regime_break
2016-05-03,2016-05-06,long,177.437,175.331,478.0,-1006.668000000011,-1.0225624358695644,1,stop_hit
2016-05-11,2016-05-19,long,178.664,174.34864747582836,225.0,-970.9543179386167,-1.0,1,stop_hit
2016-05-17,2016-05-19,long,177.379,174.7520670438654,371.0,-974.5921267259349,-1.0,2,stop_hit
2016-05-25,2016-06-14,long,179.305,178.7231651481238,161.0,-93.6754111520697,-0.09805165204942506,1,stop_hit
2016-06-21,2016-06-24,long,179.927,175.887,234.0,-945.3599999999981,-0.9910892817468121,1,stop_hit
2016-06-30,2016-09-09,long,178.968,185.6846234479223,147.0,987.3436468445784,1.0510079143806879,1,stop_hit
2016-08-30,2016-09-09,long,188.521,186.1525676443476,399.0,-945.004509905297,-1.0,2,stop_hit
2016-09-06,2016-09-09,long,188.894,185.96077885490973,322.0,-944.4972087190675,-1.0,3,stop_hit
2016-09-28,2016-10-11,long,187.354,184.92848039706644,385.0,-933.8250471294269,-1.0,2,stop_hit
2016-10-03,2016-10-11,long,187.354,184.9097180875929,383.0,-936.1599724519272,-1.0,3,stop_hit
2016-09-22,2016-10-13,long,188.396,184.15776080773128,159.0,-673.8800315707246,-0.7215464422967269,1,stop_hit
2016-10-25,2016-11-01,long,186.357,182.59556357821359,242.0,-910.2676140723121,-1.0,1,stop_hit
2016-11-08,2016-12-30,long,184.645,194.5099723286166,195.0,1923.6696040802374,2.1351473097825733,1,stop_hit
2017-01-04,2017-03-09,long,197.01,206.3068006928987,288.0,2677.4785995548255,2.913752654377252,1,stop_hit
2017-04-07,2017-04-11,long,206.255,204.9896899640279,748.0,-946.4519069071357,-1.0,2,stop_hit
2017-03-29,2017-05-17,long,206.103,207.38898304873442,252.0,324.0677282810709,0.3429419071851981,1,stop_hit
2017-04-21,2017-05-17,long,206.324,207.38898304873442,297.0,316.2999654741182,0.3374777596108741,2,stop_hit
2017-04-25,2017-05-17,long,208.667,207.38898304873442,227.0,-290.10984793728767,-0.3101078340472933,3,stop_hit
2017-05-22,2017-06-29,long,209.52,211.95599222085536,251.0,611.4340474346939,0.6497774118053282,1,stop_hit
2017-06-29,2017-06-29,long,214.735,211.98024447833805,341.0,-939.3716328867293,-1.0,2,stop_hit
2017-07-05,2017-08-10,long,213.836,215.38952859213907,305.0,473.8262206024132,0.5052007623257453,1,stop_hit
2017-07-10,2017-08-10,long,213.224,215.38952859213907,437.0,946.3359947647791,1.0089002021488753,2,stop_hit
2017-08-15,2017-08-18,long,217.662,214.084,269.0,-962.4820000000008,-1.0104910541433292,1,stop_hit
2017-08-23,2017-10-25,long,215.301,225.23441624950306,323.0,3208.493448589491,3.4036300925970626,1,stop_hit
2017-08-31,2017-10-25,long,217.434,225.23441624950306,233.0,1817.4969861342126,1.9293288439094993,2,stop_hit
2017-11-17,2018-01-30,long,228.688,250.49050885409432,339.0,7391.050501537977,7.454592168584256,1,stop_hit
2018-02-16,2018-03-01,long,242.387,237.21839016493973,55.0,-284.2735409283147,-0.267320645828762,1,stop_hit
2018-02-26,2018-03-01,long,245.63,238.08294200886752,141.0,-1064.1351767496792,-1.0,2,stop_hit
2018-03-06,2018-03-22,long,243.306,239.448,109.0,-420.52200000000045,-0.39998660397060914,1,stop_hit
2018-04-13,2018-04-25,long,238.988,233.2546120323193,183.0,-1049.2099980855678,-1.0,2,stop_hit
2018-04-11,2018-05-03,long,235.466,233.14255510297284,103.0,-239.3148243937988,-0.22897910098069463,1,stop_hit
