regime_ma_length,ema_length,trail_atr_mult,risk_per_layer_pct,net_pnl_pct,cagr_pct,max_dd_pct,sharpe,total_trades,profit_factor
150,15,2.0,0.5,34.17790043624281,2.6615688694900275,-4.759022214358365,0.8159553587753411,134,2.425983258888658
150,15,2.0,1.0,77.49702187006562,5.260260847625742,-9.269696868056977,0.8273343082082734,134,2.33414845761327
150,15,2.0,1.5,131.6794780984992,7.79573089291925,-13.520368922654342,0.8380427703062869,134,2.244056011995078
150,15,2.5,0.5,45.94814091623505,3.4357404857670026,-6.4896909059771675,0.7951804291210568,122,2.869613517704652
150,15,2.5,1.0,107.20282081649968,6.725687687382109,-11.363647472550998,0.8195174943346918,122,2.7229192060708756
150,15,2.5,1.5,186.8984946828415,9.874418009327556,-15.150772825602498,0.8393716117189159,122,2.5811939074126817
150,15,3.0,0.5,67.25258934330999,4.702647839144958,-7.538929872808911,0.8708408342592049,105,3.855722530713484
150,15,3.0,1.0,161.45031462781597,8.966352904695608,-12.079449198103548,0.907283112579541,105,3.5471827561943257
150,15,3.0,1.5,288.49138013044285,12.891015969255504,-15.1921352935844,0.9309663686496333,105,3.277048185087245
150,21,2.0,0.5,18.948149005186117,1.5624043128994236,-3.880290983748391,0.6922029016662358,113,1.9687857976764893
150,21,2.0,1.0,40.47027270091185,3.0827999283761454,-7.658716071517239,0.6926506878270793,113,1.9065233916810729
150,21,2.0,1.5,64.80477947677463,4.564814775713311,-11.231645316030157,0.6958726488640968,113,1.8527418710928456
150,21,2.5,0.5,24.20417946486562,1.955527422939518,-4.915635889545931,0.6866973308890857,107,2.148992739904113
150,21,2.5,1.0,51.93487108661123,3.807928663295357,-9.582881388238844,0.6876798051656067,107,2.068022139400098
150,21,2.5,1.5,83.1355079222178,5.554780074644716,-14.015625372086001,0.688149965893081,107,1.9946029010530115
150,21,3.0,0.5,27.929643691645367,2.2250992575718387,-4.3847733919066725,0.6880388926769991,95,2.4040656625658894
150,21,3.0,1.0,60.849926754308406,4.338132250515114,-8.511764705040326,0.6917124599806864,95,2.3109662769846313
150,21,3.0,1.5,99.13886301652711,6.3478352202337,-12.336552487425891,0.6965601998401222,95,2.2320181829926953
150,30,2.0,0.5,10.593957162854553,0.9037399525180456,-3.942504936655885,0.4159222954626939,99,1.5511157570191507
150,30,2.0,1.0,21.658763916864714,1.7670759378574097,-7.698692837428328,0.41854136331620595,99,1.5278051268243795
150,30,2.0,1.5,33.210696545774816,2.5952321600728245,-11.268861073575753,0.422366878334485,99,1.5080571202220268
150,30,2.5,0.5,15.819104374843226,1.3207886077171382,-4.458711854477568,0.49106172260010145,97,1.7064986395699109
150,30,2.5,1.0,32.30895709919569,2.532989118982054,-8.703522725627156,0.4882745984575926,97,1.6532152251703933
150,30,2.5,1.5,49.22101041046047,3.6408972406868356,-12.759901077528074,0.48564157831820126,97,1.6057578465795148
150,30,3.0,0.5,19.543934064314946,1.6077520676944346,-5.56903662606808,0.5036143162083593,91,1.8578264755896037
150,30,3.0,1.0,40.61205303126233,3.092091680049358,-10.866439519748296,0.505152047021052,91,1.7946901007429614
150,30,3.0,1.5,63.06176704108921,4.4655269257835695,-15.8326515510959,0.5079889423920801,91,1.7414105842237009
200,15,2.0,0.5,35.31029124360438,2.738683972311584,-5.474028390295021,0.8351566244486847,132,2.5596388479146106
200,15,2.0,1.0,80.39772684449073,5.412822736445544,-10.67642898723095,0.845931732295619,132,2.445453254324587
200,15,2.0,1.5,137.24313206912163,8.024528091145843,-15.538874725358228,0.8564890962044537,132,2.338603597393602
200,15,2.5,0.5,47.3141570960508,3.521872275114668,-6.488547686878725,0.8128758217513405,120,3.036838479724904
200,15,2.5,1.0,111.26973215560247,6.911197490800602,-11.365088684709397,0.8383289108633448,120,2.867252449509507
