label,total_return_pct,cagr_pct,sharpe,sortino,max_drawdown_pct,calmar,profit_factor,annual_volatility_pct,return_dd_ratio,net_pnl,total_trades,total_friction,n_years,instrument_pnl,start_equity,end_equity,rebalance_frequency
full_2012_2025,830.6320841944995,30.53038906795571,1.1521342960964291,1.241353907233905,-25.729898479805048,1.1865724651777576,1.188464531955071,26.104573249410418,32.28275793029064,830632.0841944994,571,110525.22380549999,8.372347707049967,"{'QQQ': 52096.86800000015, 'GLD': 451050.0800000009, 'BTC-USD': 438010.36}",100000.0,930632.0841944994,daily
is_2012_2020,252.5712781170001,45.29204460977469,1.6448485447844656,1.5002295261181782,-22.644581127058654,2.0001272867729907,1.4483648925131443,24.571941198399717,11.15371826486097,252571.27811700013,215,15378.317883,3.373032169746749,"{'QQQ': 48002.14600000012, 'GLD': 56117.850000000086, 'BTC-USD': 163829.59999999998}",100000.0,352571.2781170001,daily
oos_2021_2025,147.2177870600001,19.894517035306514,0.8543388024932789,0.8995991997160151,-25.126981832792744,0.7917591204424942,1.1654334748885258,24.871581485463555,5.858952262538311,147217.7870600001,333,26690.88594,4.988364134154689,"{'QQQ': 4680.332999999991, 'GLD': 114661.43000000023, 'BTC-USD': 54566.91000000005}",100000.0,247217.7870600001,daily
wf_test_2017_2018,1.7507797099999278,1.2733865054989302,0.17621902944435186,0.10342091616842097,-10.696170532909179,0.1190506921688533,1.0804244635223659,10.068154457270687,0.16368285309338138,1750.7797099999298,40,1820.32029,1.3716632443531827,"{'QQQ': 2911.319999999904, 'GLD': 659.7800000000134, 'BTC-USD': 0.0}",100000.0,101750.77970999993,daily
wf_test_2018_2019,82.9401207815001,35.39570061179542,1.7110978116615803,1.7110152997921166,-14.001298927125932,2.528029777524445,1.4940129863584015,18.73223089611687,5.923744733484192,82940.1207815001,107,6751.0042185,1.9931553730321698,"{'QQQ': 21431.775000000023, 'GLD': 31044.87000000004, 'BTC-USD': 37214.47999999999}",100000.0,182940.1207815001,daily
wf_test_2019_2020,121.89506319750029,49.08362321392037,1.716457377633066,1.3423359607525644,-22.29124979476547,2.201923340585704,1.5417288235280207,25.14106248127743,5.468292012326929,121895.06319750028,124,5798.070802499999,1.995893223819302,"{'QQQ': 25814.014000000137, 'GLD': 16625.53000000013, 'BTC-USD': 85253.59}",100000.0,221895.06319750028,daily
wf_test_2020_2021,66.11268049900004,28.95201862491732,1.262647865138898,1.2416602773041336,-21.98593863310493,1.3168425104818287,1.2408693183489674,22.072151717417928,3.007043802053193,66112.68049900004,121,8207.598501,1.995893223819302,"{'QQQ': 23375.38900000007, 'GLD': -13166.029999999999, 'BTC-USD': 64110.92}",100000.0,166112.68049900004,daily
wf_test_2021_2022,1.7560771085000315,0.8808783929776798,0.13372274723079616,0.10166585730580192,-15.64759738828531,0.05629480175896882,1.0704196030846707,11.40593059965798,0.11222662910631452,1756.0771085000306,68,3332.3898915,1.9849418206707734,"{'QQQ': 2609.1069999999945, 'GLD': -2278.430000000051, 'BTC-USD': 4757.790000000001}",100000.0,101756.07710850003,daily
wf_test_2022_2023,29.50799265549997,13.913248905715037,0.7538229535639732,0.8045402092733475,-25.209426976301113,0.5519065910857318,1.2152718779703158,19.88277653199227,1.1705142161001856,29507.99265549997,130,6243.8633445000005,1.9849418206707734,"{'QQQ': 14846.376000000068, 'GLD': 2207.5599999999813, 'BTC-USD': 18697.91999999999}",100000.0,129507.99265549997,daily
wf_test_2023_2024,126.38936757100012,50.67365126304002,1.6946792000748356,1.6775908810736344,-22.16713939807038,2.285980628941734,1.3465973484441176,26.230051919715248,5.701654385860999,126389.36757100013,135,9380.808428999999,1.9931553730321698,"{'QQQ': 10876.35600000006, 'GLD': 51014.860000000015, 'BTC-USD': 73878.96000000002}",100000.0,226389.36757100013,daily
